ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly,min_lim_age,max_lim_age
1124,I am a developer by profession,Employed full-time,Jordan,,,"Associate degree (A.A., A.S., etc.)",18 - 24 years,Colleague,17,13,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;System administrator",10 to 19 employees,JOD	Jordanian dinar,2000.0,Monthly,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,Assembly;Bash/Shell;C;Erlang;Go;Haskell;HTML/CSS;JavaScript;LISP;Node.js;PHP;Rust,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,Cassandra;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,AWS,DigitalOcean,Express;jQuery;Laravel;React.js;Vue.js,Express;FastAPI;Flask;Laravel;React.js,,,Docker;Git,Chef;Deno;Docker;Git;Kubernetes,Sublime Text;Vim;Visual Studio Code,Sublime Text;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,33852.0,18 , 24 years
1207,I am a developer by profession,"Student, part-time",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague",5,,,,,,,Kotlin,Kotlin,MySQL,MySQL,,,,,Flutter,,Git,Git,Android Studio;IntelliJ;PHPStorm;PyCharm,Android Studio;IntelliJ;PHPStorm;PyCharm,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,11 , 17 years
2758,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Online Forum;Online Courses or Certification,7,4,"Developer, full-stack",100 to 499 employees,JOD	Jordanian dinar,1500.0,Monthly,JavaScript;PHP,JavaScript;PHP,MySQL,MySQL,AWS;DigitalOcean,AWS;DigitalOcean,jQuery;Laravel,jQuery;Laravel;Vue.js,,,Git,Git,Android Studio;PHPStorm,Android Studio;PHPStorm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,25392.0,11 , 17 years
3110,I am a developer by profession,"Not employed, but looking for work",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Coding Bootcamp;Online Courses or Certification;Colleague,6,,,,,,,JavaScript;Node.js,JavaScript;Node.js,MongoDB;MySQL;SQLite,Firebase;MongoDB;MySQL,Heroku,AWS;Heroku;Microsoft Azure,Angular;Express;React.js,Angular;Express;React.js,React Native,React Native,Git,Git,Android Studio;Sublime Text;Visual Studio Code,Android Studio;Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",No,25-34 years old,Man,No,Bisexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,18 , 24 years
3124,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,School;Colleague,10,,"Developer, mobile;Academic researcher",10 to 19 employees,JOD	Jordanian dinar,,Monthly,Objective-C;Swift,Objective-C;Swift,SQLite,SQLite,AWS,AWS,,,,,Git,Git,Visual Studio;Xcode,Visual Studio;Xcode,MacOS,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,25-34 years old,Man,No,,Middle Eastern,,,Too long,Neither easy nor difficult,,5 , 10 years
3554,I code primarily as a hobby,"Not employed, but looking for work",Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",,,"Developer, mobile;Developer, front-end;Developer, full-stack;Student",,,,,Assembly;Bash/Shell;C;C++;Go;Java;Node.js;PHP;PowerShell;Python;Ruby;Rust;SQL,,Firebase;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,,Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure,AWS;DigitalOcean,React.js,Ruby on Rails,NumPy;Qt,Qt,Docker;Git;Puppet;Yarn,Ansible,Android Studio;Sublime Text;Visual Studio Code,Android Studio;Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Play games;Panic,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,11 , 17 years
3785,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Friend or family member,12,10,DevOps specialist,"10,000 or more employees",JOD	Jordanian dinar,48000.0,Yearly,HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,HTML/CSS;JavaScript;Kotlin;Node.js;TypeScript,PostgreSQL,,AWS,AWS,React.js;Spring,React.js;Spring,,,Docker;Git;Terraform,Docker;Git;Kubernetes;Terraform,IntelliJ;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio;Visual Studio Code,MacOS,Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,67701.0,11 , 17 years
5953,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,12,7,"Developer, mobile",20 to 99 employees,JOD	Jordanian dinar,1500.0,Monthly,HTML/CSS;Java;JavaScript;Kotlin;Python;Swift,Java;Kotlin;Python;Swift,,,,,Flask,Flask,,,Git,Git,Android Studio;Eclipse;Visual Studio Code;Xcode,Android Studio;Eclipse;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,25392.0,11 , 17 years
6664,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Books / Physical media",14,12,"Developer, desktop or enterprise applications;Developer, full-stack",500 to 999 employees,JOD	Jordanian dinar,2500.0,Monthly,C#;JavaScript;SQL,C#;JavaScript;SQL,Microsoft SQL Server;MongoDB,Microsoft SQL Server;MongoDB,Microsoft Azure,AWS;Microsoft Azure,Angular.js;ASP.NET;jQuery;React.js,Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Vue.js,.NET Framework,.NET Framework;.NET Core / .NET 5;React Native,Git;Unity 3D;Xamarin,Docker;Git;Kubernetes;Xamarin,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,42312.0,18 , 24 years
9084,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,Friend or family member;Books / Physical media,11,7,"Developer, mobile;Developer, back-end;Academic researcher;DevOps specialist","10,000 or more employees",JOD	Jordanian dinar,,,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Objective-C;PowerShell;Python;Swift,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Objective-C;PowerShell;Python;Swift;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Elasticsearch;MongoDB;Redis,DigitalOcean;Microsoft Azure,DigitalOcean;Microsoft Azure,Express;Flask;Vue.js,ASP.NET Core ;Express;Flask;Vue.js,.NET Core / .NET 5,.NET Core / .NET 5,Deno;Docker;Git;Kubernetes,Deno;Docker;Git;Kubernetes;Terraform,Vim;Visual Studio;Visual Studio Code;Xcode,PyCharm;Vim;Visual Studio;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it;Do other work and come back later;Meditate;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",No,25-34 years old,Man,No,Prefer not to say,Multiracial;Hispanic or Latino/a/x;Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,5 , 10 years
